"sep=,"
Name,Type,Color,Rarity,Author,Power,Toughness,Mana cost,Converted mana cost,Count,Foil count,Special foil count,Price,Foil price,Number,Set,Set code,ID,Multiverse ID,Comments,To trade,Condition,Grading,Languages,TCG ID,Cardmarket ID,Scryfall ID
"Drownyard Temple","Land",Sans couleur,Rare,"John Avon",0,0,,0,1,0,0,$0.24,$0.24,892,"Commander Legends: Battle for Baldur's Gate",CLB,75268,567709,,0,"","","",273510,662087,06c61b1b-d8fa-4c8b-9ddb-ca2682a3f5ef
"Duel for Dominance","Instant",Vert,Commune,"Ryan Pancoast",0,0,(1)(G),2,1,0,0,$0.05,$0.10,184,"Innistrad: Midnight Hunt",MID,68656,534971,,0,"","","",248080,574912,9bb0a0c8-158e-4a6f-976e-3de9f57c3463
"Duelist of Deep Faith","Creature - Phyrexian Soldier",Blanc,Commune,"Marcela Bolívar",2,2,(1)(W),2,3,0,0,$0.08,$0.10,9,"Phyrexia: All Will Be One",ONE,82901,0,,0,"","","",479618,694674,56444440-a9e6-4583-a289-9f0571a98093
"Dune Mover","Artifact Creature - Phyrexian Golem",Sans couleur,Commune,"Kev Walker",2,1,(2),2,4,0,0,$0.11,$0.11,226,"Phyrexia: All Will Be One",ONE,83118,0,,0,"","","",479082,694184,29d2c689-af37-433a-a012-e8d384702811
"Duress","Sorcery",Noir,Commune,"PINDURSKI",0,0,(B),1,1,0,0,$0.22,$0.22,92,"Phyrexia: All Will Be One",ONE,82984,0,,0,"","","",479362,694735,3557e601-9b71-4ce9-9047-1a8baa72e574
"Dusk Mangler","Creature - Horror",Noir,Peu commune,"Antonio José Manzanedo",5,4,(5)(B)(B),7,1,0,0,$0.16,$0.16,751,"Commander Legends: Battle for Baldur's Gate",CLB,75123,567568,,0,"","","",273479,661894,ed473b7d-2078-424e-b1a0-a58e04bf9cc2
"Duskshell Crawler","Creature - Insect",Vert,Commune,"Yeong-Hao Han",0,3,(1)(G),2,1,0,0,$0.13,$0.21,156,"Modern Horizons 2",MH2,65527,522232,,0,"","","",240460,566920,1af03fc3-5eb6-404e-96d9-e291a1e11ec3
"Eccentric Apprentice","Creature - Tiefling Wizard",Bleu,Peu commune,"Campbell White",2,2,(2)(U),3,1,0,0,$0.11,$0.20,57,"Adventures in the Forgotten Realms",AFR,66188,527344,,0,"","","",243220,571330,3baa08ac-9a94-4e22-91bb-c6966cd0a0de
"Echo Inspector","Creature - Bird Rogue",Bleu,Commune,"Lucas Graciano",2,3,(3)(U),4,1,0,0,$0.05,$0.05,40,"Streets of New Capenna",SNC,72877,555241,,0,"","","",268630,651693,d7e530ea-ba51-4f7a-bf56-b657a48e86ae
"Echoing Return","Sorcery",Noir,Commune,"Matt Stewart",0,0,(B),1,1,0,0,$0.11,$0.15,83,"Modern Horizons 2",MH2,65453,522159,,0,"","","",240203,566811,39eb0e67-f989-4430-b2d6-b8b647f0b7ca
"Ecstatic Awakener","Creature - Human Wizard",Noir,Commune,"Tuan Duong Chu",1,1,(B),1,1,0,0,$0.11,$0.21,100,"Innistrad: Midnight Hunt",MID,68555,534870,,0,"","","",248331,575039,bbdad18e-e262-41f9-b252-1cbdcdd1b5f9
"Eerie Soultender","Creature - Spirit Cleric",Noir,Commune,"Igor Kieryluk",3,1,(2)(B),3,1,0,0,$0.05,$0.14,92,"Dominaria United",DMU,76788,574572,,0,"","","",283688,672665,335f3146-743c-4a25-86b5-c45e9c66eb15
"Elas il-Kor, Sadistic Pilgrim","Legendary Creature - Phyrexian Kor Cleric",Multi-couleurs,Peu commune,"G-host Lee",2,2,(W)(B),2,2,0,0,$0.26,$0.56,198,"Dominaria United",DMU,76894,574678,,0,"","","",283381,672108,1c3f0ffe-cf51-4c30-8cd5-9e3c7e92c019
"Elas il-Kor, Sadistic Pilgrim","Legendary Creature - Phyrexian Kor Cleric",Multi-couleurs,Peu commune,"Joe Esposito",2,2,(W)(B),2,2,0,0,$0.18,$0.40,297,"Dominaria United Collectors",DMU,76999,578050,,0,"","","",283384,672282,552fbde6-515d-457e-81c9-d67157eaaf37
"Electrostatic Infantry","Creature - Dwarf Wizard",Rouge,Peu commune,"Kekai Kotaki",1,2,(1)(R),2,1,0,0,$0.23,$0.54,122,"Dominaria United",DMU,76818,574602,,0,"","","",283414,672318,5ed2d72f-f1cf-45a7-adf7-969f531721ce
"Elegant Entourage","Creature - Elf Druid",Vert,Peu commune,"Jodie Muir",4,4,(3)(G),4,1,0,0,$0.07,$0.13,143,"Streets of New Capenna",SNC,72980,555344,,0,"","","",268792,651848,e9d3500e-09ba-48b6-933f-25b4625b79aa
"Elesh Norn, Mother of Machines","Legendary Creature - Phyrexian Praetor",Blanc,Mythique,"Martina Fackova",4,7,(4)(W),5,2,0,0,$30.24,$30.72,10,"Phyrexia: All Will Be One",ONE,82902,0,,0,"","","",475507,689721,44dcab01-1d13-4dfc-ae2f-fbaa3dd35087
"Elesh Norn, Mother of Machines","Legendary Creature - Phyrexian Praetor",Blanc,Mythique,"Pedro Potier",4,7,(4)(W),5,1,1,0,$63.02,$63.02,345,"Phyrexia: All Will Be One Collectors",ONE,83242,0,,0,"","","",475565,692713,124ceaf6-b22d-4a4f-aa04-41202d72b379
"Elfhame Wurm","Creature - Wurm",Vert,Commune,"Victor Adame Minguez",5,4,(4)(G),5,1,0,0,$0.13,$0.13,161,"Dominaria United",DMU,76857,574641,,0,"","","",283646,672687,ef2dc99b-083d-473e-b352-e8264353e85b
"Elite Scaleguard","Creature - Human Soldier",Blanc,Peu commune,"Steve Prescott",2,3,(4)(W),5,1,0,0,$0.12,$0.12,85,"Midnight Hunt Commander",MIC,68953,539346,,0,"","","",248590,575365,83cb16b6-524b-4d67-bbf4-f381a089eff7
"Elspeth's Smite","Instant",Blanc,Peu commune,"Livia Prima",0,0,(W),1,1,0,0,$0.08,$0.25,13,"March of the Machine",MOM,84095,0,,0,"","","",490386,703458,f03a480f-de67-4611-9db7-c0c3d020f597
"Elvish Hydromancer","Creature - Elf Wizard",Vert,Peu commune,"Fajareka Setiawan",3,2,(2)(G),3,1,0,0,$0.13,$0.14,162,"Dominaria United",DMU,76858,574642,,0,"","","",283376,672107,90dc4122-4f7a-4d9f-8427-de36e3e8a913
"Elvish Vatkeeper","Creature - Phyrexian Elf",Multi-couleurs,Peu commune,"Nicholas Gregory",3,3,(1)(B)(G),3,1,0,0,$0.10,$0.15,223,"March of the Machine",MOM,84351,0,,0,"","","",491200,704411,b3227c07-9ef2-46a6-9b4f-bbd6ef12f4a5
"Endless Evil","Enchantment - Aura",Bleu,Rare,"Diego Gisbert",0,0,(2)(U),3,1,0,0,$0.66,$0.66,665,"Commander Legends: Battle for Baldur's Gate",CLB,75035,567230,,0,"","","",273526,661291,804b3378-b330-45d2-9e2c-602ec080f285
"Enduring Bondwarden","Creature - Human Scout",Blanc,Commune,"Kim Sokol",0,1,(W),1,1,0,0,$0.11,$0.16,14,"March of the Machine",MOM,84096,0,,0,"","","",491328,704285,eb0680eb-ceca-44d9-9654-78ea2ccfce17
"Enduring Scalelord","Creature - Dragon",Multi-couleurs,Peu commune,"Clint Cearley",4,4,(4)(G)(W),6,1,0,0,$0.12,$0.12,149,"Midnight Hunt Commander",MIC,69017,539410,,0,"","","",248655,575452,6c972b40-4b65-4b58-864d-41c650782cae
"Ertai's Scorn","Instant",Bleu,Peu commune,"Alex Negrea",0,0,(1)(U)(U),3,1,0,0,$0.09,$0.23,48,"Dominaria United",DMU,76744,574528,,0,"","","",283606,672651,6129b0d3-b50a-4a4b-9111-39f8fc6718dd
"Essence of Orthodoxy","Creature - Phyrexian",Blanc,Rare,"Oriana Menendez",3,3,(3)(W)(W),5,1,0,0,$0.02,$1.18,323,"March of the Machine",MOM,84433,0,,0,"","","",490432,703500,604233dc-0520-47d0-8d3d-816f45c9f087
"Essence Scatter","Instant",Bleu,Commune,"Anastasia Ovchinnikova",0,0,(1)(U),2,1,0,0,$0.04,$0.18,49,"Dominaria United",DMU,76745,574529,,0,"","","",283616,672652,b7ad4441-e300-4267-bedb-4ae6a64f59cd
"Etched Host Doombringer","Creature - Phyrexian Demon",Noir,Commune,"Helge C. Balzer",3,5,(4)(B),5,5,0,0,$0.07,$0.15,102,"March of the Machine",MOM,84204,0,,0,"","","",491695,704788,b2f1afa2-ca71-49cf-953b-d5dfc60c178f
"Etching of Kumano","Enchantment Creature - Human Shaman",Rouge,Peu commune,"Mike Bierek",2,2,,1,1,0,0,$0.21,$0.36,152,"Kamigawa: Neon Dynasty",NEO,71710,548455,,0,"","","",262776,608242,28d92cad-45b0-479d-97fc-c175f3a3f259
"Eternal Witness","Creature - Human Shaman",Vert,Rare,"Scott M. Fischer",2,1,(1)(G)(G),3,1,1,0,$0.00,$0.00,12,"30th Anniversary Edition Promos",P30A,79507,0,,0,"","","",0,699879,0574d09f-5667-4ecf-bbbb-a1a0ed24068d
"Eternal Witness","Creature - Human Shaman",Vert,Peu commune,"Chris Rahn",2,1,(1)(G)(G),3,1,0,0,$1.62,$1.62,138,"Midnight Hunt Commander",MIC,69006,539399,,0,"","","",248600,575438,d925cb2d-30d5-4bb5-907e-0f8fb65fcab4
"Etherium Spinner","Artifact Creature - Human Wizard",Bleu,Commune,"Mark Behm",2,1,(2)(U),3,1,0,0,$0.05,$0.11,40,"Modern Horizons 2",MH2,65409,522116,,0,"","","",240385,566894,cdc8056f-4c8e-4a2b-b32f-c50c2cb7601a
"Everflowing Chalice","Artifact",Sans couleur,Peu commune,"Steve Argyle",0,0,(0),0,1,0,0,$0.47,$0.47,859,"Commander Legends: Battle for Baldur's Gate",CLB,75235,567676,,0,"","","",273497,662054,fb35c235-7749-4016-917c-dd8b586ac819
"Evolved Spinoderm","Creature - Phyrexian Beast",Vert,Rare,"Svetlin Velinov",5,5,(2)(G)(G),4,1,0,0,$0.15,$0.15,166,"Phyrexia: All Will Be One",ONE,83058,0,,0,"","","",478509,693206,dd4bcb42-f5cf-410d-8f20-1006b0f92abe
"Evolving Adaptive","Creature - Phyrexian Warrior",Vert,Peu commune,"John Di Giovanni",0,0,(G),1,2,0,0,$0.09,$0.12,167,"Phyrexia: All Will Be One",ONE,83059,0,,0,"","","",479424,694765,13366c60-1200-4ad2-bbf4-77596121fcd2
"Evolving Wilds","Land",Sans couleur,Commune,"Alayna Danner",0,0,,0,1,0,0,$0.07,$0.12,261,"Innistrad: Midnight Hunt",MID,68744,535059,,0,"","","",248243,575094,cb471f90-46f2-4037-87fc-f523fc9d004f
"Exhibition Magician","Creature - Human Wizard",Rouge,Commune,"Greg Staples",2,1,(2)(R),3,1,0,0,$0.14,$0.14,106,"Streets of New Capenna",SNC,72943,555307,,0,"","","",269063,652183,cbb4479f-3157-44b4-b18b-7553c7513118
"Exotic Orchard","Land",Sans couleur,Rare,"Steven Belledin",0,0,,0,1,0,0,$0.24,$0.24,893,"Commander Legends: Battle for Baldur's Gate",CLB,75269,567710,,0,"","","",273511,662088,0de15320-485c-4191-8f15-12f9d1b340ba
"Exotic Orchard","Land",Sans couleur,Rare,"Steven Belledin",0,0,,0,1,0,0,$0.18,$0.18,173,"Midnight Hunt Commander",MIC,69041,539434,,0,"","","",248636,575476,ac8f8625-3f15-42c8-96da-24528dc4355b
"Expand the Sphere","Sorcery",Vert,Peu commune,"Sergey Glushakov",0,0,(3)(G),4,1,0,0,$0.12,$0.14,168,"Phyrexia: All Will Be One",ONE,83060,0,,0,"","","",478690,693399,572e174e-99f7-4b5e-8506-1833adddbf07
"Expendable Lackey","Creature - Human Citizen",Bleu,Commune,"Randy Gallegos",1,1,(U),1,1,0,0,$0.08,$0.11,43,"Streets of New Capenna",SNC,72880,555244,,0,"","","",269057,652166,9515329a-0738-4b23-a326-ff417f47da77
"Experimental Augury","Instant",Bleu,Commune,"Donato Giancola",0,0,(1)(U),2,1,0,0,$0.15,$0.60,49,"Phyrexia: All Will Be One",ONE,82941,0,,0,"","","",478436,693212,e508ae5d-ffb5-4480-be90-a4394954b559
"Extinguish the Light","Instant",Noir,Commune,"Ekaterina Burmak",0,0,(2)(B)(B),4,1,0,0,$0.09,$0.09,94,"Dominaria United",DMU,76790,574574,,0,"","","",283478,672347,01a51d08-f90e-4b72-8dce-fb2a6c72f181
"Extract from Darkness","Sorcery",Multi-couleurs,Peu commune,"Dallas Williams",0,0,(3)(U)(B),5,1,0,0,$0.11,$0.11,844,"Commander Legends: Battle for Baldur's Gate",CLB,75220,567661,,0,"","","",273489,662038,adc868df-df15-4927-88dc-9b4d38d28c5f
"Exuberant Fuseling","Creature - Phyrexian Goblin Warrior",Rouge,Peu commune,"Billy Christian",0,1,(R),1,3,0,0,$0.11,$0.21,129,"Phyrexia: All Will Be One",ONE,83021,0,,0,"","","",478972,694328,a6e8d7b9-ff5e-48ae-9e38-d2b6a45b119b
"Eye of Malcator","Artifact",Bleu,Commune,"Jonas De Ro",0,0,(2)(U),3,3,0,0,$0.04,$0.04,50,"Phyrexia: All Will Be One",ONE,82942,0,,0,"","","",479557,694720,7cc4246b-ff59-44b2-acff-c0bb6e4cd6ac
"Eyeblight's Ending","Tribal Instant - Elf",Noir,Commune,"Ron Spears",0,0,(2)(B),3,1,0,0,$0.08,$0.08,75,"Double Masters 2022",2X2,75965,571408,,0,"","","",276286,664036,6738c356-734a-4930-acd3-31dead241bea
"Eyes of Gitaxias","Sorcery",Bleu,Commune,"Cristi Balanescu",0,0,(2)(U),3,2,0,0,$0.05,$0.09,57,"March of the Machine",MOM,84148,0,,0,"","","",491744,704753,c4303347-3fbd-4bbd-ab3f-e7ddbe0e0a9d
"Ezuri, Stalker of Spheres","Legendary Creature - Phyrexian Elf Warrior",Multi-couleurs,Rare,"Fariba Khamseh",3,3,(2)(G)(U),4,1,0,0,$0.24,$0.59,201,"Phyrexia: All Will Be One",ONE,83093,0,,0,"","","",478304,692407,d38961ce-0257-412f-acec-c5c9886061f8
"Fact or Fiction","Instant",Bleu,Peu commune,"Matt Cavotta",0,0,(3)(U),4,1,0,0,$0.15,$0.15,720,"Commander Legends: Battle for Baldur's Gate",CLB,75092,567537,,0,"","","",273493,661797,43d5a3ec-eb03-47c1-9570-98832ebf8898
"Faithless Salvaging","Instant",Rouge,Commune,"Bud Cook",0,0,(1)(R),2,1,0,0,$0.08,$0.10,122,"Modern Horizons 2",MH2,65492,522198,,0,"","","",240204,566817,c6ed4077-4ed5-48fb-91c9-a9195d652978
"Faithless Salvaging","Instant",Rouge,Commune,"Bud Cook",0,0,(1)(R),2,1,0,0,$0.05,$0.05,349,"Modern Horizons 2 Collectors",MH2,65794,526717,,0,"","","",240247,566838,2958aa5c-176d-4f6e-be52-ef2afbe8d452
"Fake Your Own Death","Instant",Noir,Commune,"Kari Christensen",0,0,(1)(B),2,1,0,0,$0.10,$0.19,79,"Streets of New Capenna",SNC,72916,555280,,0,"","","",269082,652178,b4e117a8-3291-4f9a-ab00-c820c8e2aa00
"Falkenrath Perforator","Creature - Vampire",Rouge,Commune,"Marcela Medeiros",2,1,(1)(R),2,1,0,0,$0.03,$0.12,136,"Innistrad: Midnight Hunt",MID,68597,534912,,0,"","","",248093,574918,c40998e0-d7d0-4d79-a40a-9a381debd2cb
"Famished Foragers","Creature - Vampire",Rouge,Commune,"Lorenzo Mastroianni",4,3,(3)(R),4,2,0,0,$0.05,$0.13,138,"Innistrad: Midnight Hunt",MID,68599,534914,,0,"","","",247860,574753,fdbe6937-ceda-4367-a101-562fd5e0e09d
"Fangblade Brigand","Creature - Human Werewolf",Rouge,Peu commune,"Sami Makkonen",3,4,(3)(R),4,1,0,0,$0.11,$0.14,292,"Innistrad: Midnight Hunt Collectors",MID,68793,0,,0,"","","",248055,574895,35e17f53-021b-484b-9ede-524742fe8aae
"Fangblade Eviscerator","Creature - Werewolf",Rouge,Peu commune,"Sami Makkonen",4,5,,4,1,0,0,$0.11,$0.14,292,"Innistrad: Midnight Hunt Collectors",MID,68794,0,,0,"","","",248055,574895,35e17f53-021b-484b-9ede-524742fe8aae
"Fearless Skald","Creature - Dwarf Berserker",Rouge,Peu commune,"Slawomir Maniak",3,2,(4)(R),5,3,0,0,$0.08,$0.13,138,"March of the Machine",MOM,84247,0,,0,"","","",490606,704372,4e317d1d-3f20-4f0d-8b1e-31df351e8f83
"Feed the Swarm","Sorcery",Noir,Commune,"Andrey Kuzinskiy",0,0,(1)(B),2,1,0,0,$0.36,$0.36,752,"Commander Legends: Battle for Baldur's Gate",CLB,75124,567569,,0,"","","",273487,661895,f86c30e0-35f3-4da8-a28c-722254b1bbe4
"Fertilid's Favor","Instant",Vert,Commune,"Kevin Sidharta",0,0,(3)(G),4,1,0,0,$0.08,$0.09,186,"March of the Machine",MOM,84305,0,,0,"","","",491747,704880,e0bbfb58-8b22-4e8d-991c-855c29964d94
"Filigree Attendant","Artifact Creature - Homunculus",Bleu,Peu commune,"Igor Kieryluk",0,3,(2)(U)(U),4,1,0,0,$0.11,$0.12,41,"Modern Horizons 2",MH2,65410,522117,,0,"","","",240041,566616,e0cb828c-a19b-4e6d-853f-85e5ea7cadf8
"Final Flourish","Instant",Noir,Commune,"Raluca Marinescu",0,0,(1)(B),2,1,0,0,$0.04,$0.24,104,"March of the Machine",MOM,84206,0,,0,"","","",491702,704790,09a4dcdb-6939-4d9f-8921-549e0ddc9f63
"Firbolg Flutist","Creature - Giant Bard",Rouge,Rare,"Joseph Weston",4,4,(4)(R)(R),6,1,0,0,$0.33,$0.52,582,"Commander Legends: Battle for Baldur's Gate Collectors",CLB,75429,569997,,0,"","","",272762,660777,738abf75-009d-439d-91d5-07545bccdb1f
"Fire","Instant",Multi-couleurs,Rare,"Dan Scott",0,0,(1)(R),4,1,0,0,$0.33,$2.70,290,"Modern Horizons 2",MH2,65662,526261,,0,"","","",240138,566657,0e09b054-4d33-4a12-bf2a-9b0009f33044
"Fires of Victory","Instant",Rouge,Peu commune,"Sidharth Chaturvedi",0,0,(1)(R),2,2,0,0,$0.08,$0.12,123,"Dominaria United",DMU,76819,574603,,0,"","","",283152,671921,c58096e5-3cd4-4edd-b71a-3bdb47ab2536
"Firesong and Sunspeaker","Legendary Creature - Minotaur Cleric",Multi-couleurs,Rare,"Daniel Lieske",4,6,(4)(R)(W),6,1,0,0,$0.00,$0.53,39,"Multiverse Legends",MUL,84573,0,,0,"","","",491818,704967,90e0031e-de69-41e7-aef9-78ed1d4b3361
"Flamekin Harbinger","Creature - Elemental Shaman",Rouge,Peu commune,"Steve Prescott",1,1,(R),1,1,0,0,$2.30,$11.82,167,"Lorwyn",LRW,15036,139463,,0,"","","",15493,17908,f330c0f4-13d2-4432-9ced-f044bef98ec8
"Flametongue Yearling","Creature - Kavu",Rouge,Peu commune,"Milivoj Ćeran",2,1,(R)(R),2,1,0,0,$0.13,$0.25,125,"Modern Horizons 2",MH2,65496,522201,,0,"","","",239392,565735,33ab05b5-d6f5-439c-9aed-1a58ceb282ad
"Flensing Raptor","Creature - Phyrexian Bird",Blanc,Commune,"Abz J Harding",2,2,(2)(W),3,1,0,0,$0.08,$0.14,12,"Phyrexia: All Will Be One",ONE,82904,0,,0,"","","",479615,694707,134aecf0-dc48-4fb3-8c8b-4e5272077856
"Floodhound","Creature - Elemental Dog",Bleu,Commune,"Lius Lasahido",1,2,(U),1,1,0,0,$0.07,$0.10,42,"Modern Horizons 2",MH2,65411,522118,,0,"","","",240206,566806,a5b1ac05-bd87-4605-8443-0469276e1e3a
"Floriferous Vinewall","Creature - Plant Wall",Vert,Commune,"Jakub Kasper",0,2,(1)(G),2,1,0,0,$0.08,$0.11,163,"Dominaria United",DMU,76859,574643,,0,"","","",283650,672688,8382b7c7-762e-43f6-b285-e0cebe749fab
"Flowstone Infusion","Instant",Rouge,Commune,"Allen Williams",0,0,(R),1,1,0,0,$0.09,$0.15,124,"Dominaria United",DMU,76820,574604,,0,"","","",283657,672674,b57c3674-9a31-4418-b306-e6b0a2514d8f
"Fly","Enchantment - Aura",Bleu,Peu commune,"Lie Setiawan",0,0,(U),1,1,0,0,$0.16,$0.22,59,"Adventures in the Forgotten Realms",AFR,66190,527346,,0,"","","",243221,571331,f1a91cc6-67e1-4f1b-86e2-eb388a75d6ad
"Flywheel Racer","Artifact - Vehicle",Sans couleur,Commune,"Joshua Cairos",3,2,(2),2,3,0,0,$0.14,$0.16,259,"March of the Machine",MOM,84400,0,,0,"","","",491763,704895,c694485d-a753-4e55-929c-d8e4a53c7d08
"Fodder Tosser","Artifact",Sans couleur,Commune,"Gabor Szikszai",0,0,(3),3,2,0,0,$0.04,$0.12,226,"Modern Horizons 2",MH2,65598,522302,,0,"","","",240437,566930,fd401525-b874-4af2-99a3-c2c83e22547e
"Forest","Basic Land - Forest",Sans couleur,Commune,"Alayna Danner",0,0,,0,2,2,0,$2.56,$2.56,369,"Phyrexia: All Will Be One Collectors",ONE,83266,0,,0,"","","",0,692725,9d94fa1c-48d1-48bc-b725-5c11a158507b
"Forgotten Creation","Creature - Zombie Horror",Bleu,Rare,"Izzy",3,3,(3)(U),4,1,0,0,$0.21,$0.21,721,"Commander Legends: Battle for Baldur's Gate",CLB,75093,567538,,0,"","","",273458,661798,1d314354-1fb1-498c-8342-ecafac9ff37a
"Fortified Village","Land",Sans couleur,Rare,"Cliff Childs",0,0,,0,1,0,0,$0.30,$0.30,174,"Midnight Hunt Commander",MIC,69042,539435,,0,"","","",248638,575477,d38ec179-6b1c-41f6-9538-a84ba26ce4ad
"Foul Watcher","Creature - Nightmare Bird",Bleu,Commune,"Mila Pesic",1,2,(1)(U),2,1,0,0,$0.08,$0.10,43,"Modern Horizons 2",MH2,65412,522119,,0,"","","",240386,566895,71d00175-5e5e-40dd-a71b-5ba56d763134
"Foundation Breaker","Creature - Elemental",Vert,Peu commune,"Yeong-Hao Han",2,2,(3)(G),4,1,0,0,$0.27,$0.76,160,"Modern Horizons 2",MH2,65531,522236,,0,"","","",240168,566775,4f08381e-34f5-4d08-b737-8c37964719e0
"Founding the Third Path","Enchantment - Saga",Bleu,Peu commune,"Chris Seaman",0,0,(1)(U),2,2,0,0,$0.41,$1.31,50,"Dominaria United",DMU,76746,574530,,0,"","","",283406,672118,2d841faa-9e0b-45ff-9dfd-f8a169d9af76
"Foundry Helix","Instant",Multi-couleurs,Commune,"Zezhou Chen",0,0,(1)(R)(W),3,1,0,0,$0.14,$0.32,196,"Modern Horizons 2",MH2,65567,522272,,0,"","","",240410,566926,9c54b7c6-f94c-4349-8725-319c54240409
"Fractured Sanity","Sorcery",Bleu,Rare,"Drew Tucker",0,0,(U)(U)(U),3,1,0,0,$0.47,$1.39,44,"Modern Horizons 2",MH2,65413,522120,,0,"","","",239492,565930,413ac8fb-5156-4f90-81f5-1879e273c9e2
"Fractured Sanity","Sorcery",Bleu,Rare,"Drew Tucker",0,0,(U)(U)(U),3,1,0,0,$0.49,$0.49,722,"Commander Legends: Battle for Baldur's Gate",CLB,75094,567539,,0,"","","",273483,661799,81875876-c1a0-4f64-8dfc-39217b5e4020
"Froghemoth","Creature - Frog Horror",Vert,Rare,"Brent Hollowell",4,4,(3)(G)(G),5,1,0,0,$0.31,$0.48,184,"Adventures in the Forgotten Realms",AFR,66293,527471,,0,"","","",243229,571286,728e9567-2585-4c03-99a5-3e84fd8044d2
"From the Catacombs","Sorcery",Noir,Rare,"Ben Wootten",0,0,(3)(B)(B),5,1,0,0,$0.38,$0.38,671,"Commander Legends: Battle for Baldur's Gate",CLB,75041,567236,,0,"","","",273529,661303,08737950-4662-4d36-a1ea-6fd87e38c02b
"Frostfist Strider","Creature - Elemental Giant",Bleu,Peu commune,"Francisco Miyara",4,4,(3)(U)(U),5,1,0,0,$0.04,$0.07,51,"Dominaria United",DMU,76747,574531,,0,"","","",283095,671606,40141353-c0d6-4529-b26a-34dfccbcf231
"Funnel-Web Recluse","Creature - Spider",Vert,Commune,"Milivoj Ćeran",3,5,(4)(G),5,2,0,0,$0.10,$0.10,161,"Modern Horizons 2",MH2,65532,522237,,0,"","","",240207,566818,b486c9cf-b0a6-44a4-b4c1-b3f5eed6c294
"Furious Bellow","Instant",Rouge,Commune,"Joshua Raphael",0,0,(1)(R),2,1,0,0,$0.09,$0.09,126,"Dominaria United",DMU,76822,574606,,0,"","","",283674,672676,63d05659-bfff-4b73-80f7-a9f31a7ef957
"Furnace Gremlin","Creature - Phyrexian Gremlin",Rouge,Peu commune,"Tuan Duong Chu",1,2,(1)(R),2,1,0,0,$0.15,$0.15,139,"March of the Machine",MOM,84248,0,,0,"","","",490605,704373,445b3315-6587-4d57-ab7e-faab1eec0241
"Furnace Host Charger","Creature - Phyrexian Giant",Rouge,Commune,"Andreas Zafiratos",5,5,(5)(R),6,3,0,0,$0.07,$0.07,140,"March of the Machine",MOM,84249,0,,0,"","","",0,704801,2d142ded-a2df-41b0-9c02-056b5f34abab
"Furnace Punisher","Creature - Phyrexian Warrior",Rouge,Peu commune,"Lauren K. Cannon",3,3,(2)(R),3,2,0,0,$0.04,$0.08,132,"Phyrexia: All Will Be One",ONE,83024,0,,0,"","","",478953,694334,65e5fc08-7a04-4bba-81ba-990889cae96a
"Furnace Punisher","Creature - Phyrexian Warrior",Rouge,Peu commune,"Flavio Girón",3,3,(2)(R),3,1,0,0,$0.11,$0.24,291,"Phyrexia: All Will Be One Collectors",ONE,83188,0,,0,"","","",479621,694792,6f66c086-bb19-45d1-8387-17348f2c5c78
"Furnace Punisher","Creature - Phyrexian Warrior",Rouge,Peu commune,"Flavio Girón",3,3,(2)(R),3,2,2,0,$0.18,$0.18,445,"Phyrexia: All Will Be One Collectors",ONE,83337,0,,0,"","","",479625,694976,f16994ad-6288-4e3a-a02f-0dfce71bf013
"Furnace Skullbomb","Artifact",Sans couleur,Commune,"Matt Forsyth",0,0,(1),1,2,0,0,$0.04,$0.12,228,"Phyrexia: All Will Be One",ONE,83120,0,,0,"","","",478978,693883,cb530f9d-cf35-48a7-8711-f74b3d9a35a7
"Furtive Analyst","Creature - Human Wizard",Bleu,Commune,"Marcela Bolívar",1,4,(2)(U),3,1,0,0,$0.07,$0.11,59,"March of the Machine",MOM,84150,0,,0,"","","",491746,704754,98c55aff-baed-4fb5-a490-abd59b8df5e7
"Fynn, the Fangbearer","Legendary Creature - Human Warrior",Vert,Peu commune,"Lie Setiawan",1,3,(1)(G),2,1,0,1,$0.00,$0.00,91,"Multiverse Legends",MUL,85245,0,,0,"","","",0,706442,42cfdb8a-88d3-422b-ab4c-149f048d5738
"Gaea's Might","Instant",Vert,Commune,"Alex Negrea",0,0,(G),1,1,0,0,$0.07,$0.08,164,"Dominaria United",DMU,76860,574644,,0,"","","",283416,672320,89c46e9c-ae7c-466c-bb11-4f4d01ea7a63
"Galedrifter","Creature - Hippogriff",Bleu,Commune,"Daniel Ljunggren",3,2,(3)(U),4,1,0,0,$0.05,$0.05,55,"Innistrad: Midnight Hunt",MID,68501,534816,,0,"","","",248337,575024,eb34c472-c6ff-4d83-ac8b-a8f279593f98
"Gargadon","Creature - Beast",Rouge,Commune,"Chris Seaman",7,5,(5)(R)(R),7,1,0,0,$0.11,$0.11,351,"Modern Horizons 2 Collectors",MH2,65796,526719,,0,"","","",240438,566939,88167b74-c25f-4a9b-a4f5-33a51e01d498
"Gargantuan Slabhorn","Creature - Beast",Multi-couleurs,Peu commune,"Nicholas Gregory",4,4,,2,3,0,0,$0.11,$0.20,240,"March of the Machine",MOM,84379,0,,0,"","","",491208,704449,50180fda-6d67-41e9-8b2b-2e7c5876b8ab
"Garna, Bloodfist of Keld","Legendary Creature - Human Berserker",Multi-couleurs,Peu commune,"Andrey Kuzinskiy",4,3,(1)(B)(R)(R),4,2,0,0,$0.09,$0.23,200,"Dominaria United",DMU,76896,574680,,0,"","","",283527,672695,294c5f08-08e7-458f-8838-ff321dc5d9f2
