name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Bonecrusher Giant",,"Creature - Giant",,"eld","115",rare,r,Not Owned,,false,,,"","",78352
"Feldon of the Third Path",,"Legendary Creature - Human Artificer",,"c14","35",mythic,r,Not Owned,,false,,,"","",55107
"Goblin Rabblemaster",,"Creature - Goblin Warrior",,"m15","145",rare,r,Not Owned,,false,,,"","",53500
"Imperial Recruiter",,"Creature - Human Advisor",,"ptk","113",uncommon,r,Not Owned,,false,,,"","",
"Laelia, the Blade Reforged",,"Legendary Creature - Spirit Warrior",,"c21","53",rare,r,Not Owned,,false,,,"","",89849
"Magus of the Moon",,"Creature - Human Wizard",,"fut","101",rare,r,Not Owned,,false,,,"","",26860
"Merchant of the Vale",,"Creature - Human Peasant",,"eld","131",common,r,Not Owned,,false,,,"","",78388
"Reckless Bushwhacker",,"Creature - Goblin Warrior Ally",,"ogw","116",uncommon,r,Not Owned,,false,,,"","",59273
"Seasoned Pyromancer",,"Creature - Human Shaman",,"mh1","145",mythic,r,Not Owned,,false,,,"","",72662
"Flametongue Kavu",,"Creature - Kavu",,"pls","60",uncommon,r,Not Owned,,false,,,"","",15267
"Hazoret the Fervent",,"Legendary Creature - God",,"akh","136",mythic,r,Not Owned,,false,,,"","",63874
"Hellrider",,"Creature - Devil",,"dka","93",rare,r,Not Owned,,false,,,"","",43185
"Pia and Kiran Nalaar",,"Legendary Creature - Human Artificer",,"ori","157",rare,r,Not Owned,,false,,,"","",57990
"Fury",,"Creature - Elemental Incarnation",,"mh2","126",mythic,r,Not Owned,,false,,,"","",90629
"Glorybringer",,"Creature - Dragon",,"akh","134",rare,r,Not Owned,,false,,,"","",63870
"Goblin Dark-Dwellers",,"Creature - Goblin",,"ogw","110",rare,r,Not Owned,,false,,,"","",59543
"Kiki-Jiki, Mirror Breaker",,"Legendary Creature - Goblin Shaman",,"chk","175",rare,r,Not Owned,,false,,,"","",21021
"Siege-Gang Commander",,"Creature - Goblin",,"scg","103",rare,r,Not Owned,,false,,,"","",18820
"Terror of the Peaks",,"Creature - Dragon",,"m21","164",mythic,r,Not Owned,,false,,,"","",81555
"Thundermaw Hellkite",,"Creature - Dragon",,"m13","150",mythic,r,Not Owned,,false,,,"","",45414
"Zealous Conscripts",,"Creature - Human Warrior",,"avr","166",rare,r,Not Owned,,false,,,"","",44033
"Inferno Titan",,"Creature - Giant",,"m11","146",mythic,r,Not Owned,,false,,,"","",37428
"Chandra, Torch of Defiance",,"Legendary Planeswalker - Chandra",,"kld","110",mythic,r,Not Owned,,false,,,"","",61573
"Daretti, Scrap Savant",,"Legendary Planeswalker - Daretti",,"c14","33",mythic,r,Not Owned,,false,,,"","",55115
"Koth of the Hammer",,"Legendary Planeswalker - Koth",,"som","94",mythic,r,Not Owned,,false,,,"","",38331
"Lukka, Coppercoat Outcast",,"Legendary Planeswalker - Lukka",,"iko","125",mythic,r,Not Owned,,false,,,"","",80259
"Chandra, Awakened Inferno",,"Legendary Planeswalker - Chandra",,"m20","127",mythic,r,Not Owned,,false,,,"","",73153
"Burst Lightning",,"Instant",,"zen","119",common,r,Not Owned,,false,,,"","",34408
"Lightning Bolt",,"Instant",,"lea","161",common,r,Not Owned,,false,,,"","",
"Abrade",,"Instant",,"hou","83",uncommon,r,Not Owned,,false,,,"","",64650
"Cathartic Pyre",,"Instant",,"mid","133",uncommon,r,Not Owned,,false,,,"","",93232
"Fire Prophecy",,"Instant",,"iko","116",common,r,Not Owned,,false,,,"","",80241
"Incinerate",,"Instant",,"ice","194",common,r,Not Owned,,false,,,"","",24425
"Lightning Strike",,"Instant",,"ths","127",common,r,Not Owned,,false,,,"","",50572
"Char",,"Instant",,"rav","117",rare,r,Not Owned,,false,,,"","",23212
"Reiterate",,"Instant",,"tsp","175",rare,r,Not Owned,,false,,,"","",25941
"Valakut Awakening",,"Instant",,"znr","174",rare,r,Not Owned,,false,,,"","",83329
"Stoke the Flames",,"Instant",,"m15","164",uncommon,r,Not Owned,,false,,,"","",53544
"Through the Breach",,"Instant - Arcane",,"chk","193",rare,r,Not Owned,,false,,,"","",21519
"Fireblast",,"Instant",,"vis","79",common,r,Not Owned,,false,,,"","",7551
"Magmatic Sinkhole",,"Instant",,"mh1","135",common,r,Not Owned,,false,,,"","",72642
"Banefire",,"Sorcery",,"con","58",rare,r,Not Owned,,false,,,"","",31883
"Bonfire of the Damned",,"Sorcery",,"avr","129",mythic,r,Not Owned,,false,,,"","",44191
"Chain Lightning",,"Sorcery",,"leg","137",common,r,Not Owned,,false,,,"","",
"Faithless Looting",,"Sorcery",,"dka","87",common,r,Not Owned,,false,,,"","",43267
"Flame Slash",,"Sorcery",,"roe","145",common,r,Not Owned,,false,,,"","",36640
"Gamble",,"Sorcery",,"usg","188",rare,r,Not Owned,,false,,,"","",12067
"Mizzium Mortars",,"Sorcery",,"rtr","101",rare,r,Not Owned,,false,,,"","",46473
"Pyroclasm",,"Sorcery",,"ice","214",uncommon,r,Not Owned,,false,,,"","",
"Light Up the Stage",,"Sorcery",,"rna","107",uncommon,r,Not Owned,,false,,,"","",71214
"Rift Bolt",,"Sorcery",,"tsp","176",common,r,Not Owned,,false,,,"","",25477
"Wheel of Fortune",,"Sorcery",,"lea","183",rare,r,Not Owned,,false,,,"","",
"Wish",,"Sorcery",,"afr","166",rare,r,Not Owned,,false,,,"","",91834
"Fiery Confluence",,"Sorcery",,"c15","26",rare,r,Not Owned,,false,,,"","",
"From the Ashes",,"Sorcery",,"c13","108",rare,r,Not Owned,,false,,,"","",51380
"Goblin War Party",,"Sorcery",,"mh1","131",common,r,Not Owned,,false,,,"","",72634
"Throes of Chaos",,"Sorcery",,"mh1","150",uncommon,r,Not Owned,,false,,,"","",72672
"Wildfire",,"Sorcery",,"p02","120",rare,r,Not Owned,,false,,,"","",
"Blasphemous Act",,"Sorcery",,"isd","130",rare,r,Not Owned,,false,,,"","",42410
"Mox Ruby",,"Artifact",,"lea","264",rare,r,Not Owned,,false,,,"","",653
"Fable of the Mirror-Breaker",,"Enchantment - Saga",,"neo","141",rare,r,Not Owned,,false,,,"","",97210
"Sulfuric Vortex",,"Enchantment",,"scg","106",rare,r,Not Owned,,false,,,"","",18928
"Sneak Attack",,"Enchantment",,"usg","218",rare,r,Not Owned,,false,,,"","",12399
"Splinter Twin",,"Enchantment - Aura",,"roe","165",rare,r,Not Owned,,false,,,"","",36426
"Arbor Elf",,"Creature - Elf Druid",,"wwk","95",common,g,Not Owned,,false,,,"","",35773
"Birds of Paradise",,"Creature - Bird",,"lea","186",rare,g,Not Owned,,false,,,"","",
"Elvish Mystic",,"Creature - Elf Druid",,"m14","169",common,g,Not Owned,,false,,,"","",49499
"Fyndhorn Elves",,"Creature - Elf Druid",,"ice","244",common,g,Not Owned,,false,,,"","",
"Gilded Goose",,"Creature - Bird",,"eld","160",rare,g,Not Owned,,false,,,"","",78458
"Joraga Treespeaker",,"Creature - Elf Druid",,"roe","190",uncommon,g,Not Owned,,false,,,"","",36408
"Llanowar Elves",,"Creature - Elf Druid",,"p30h","5★",rare,g,Not Owned,,false,,,"","",
"Ulvenwald Tracker",,"Creature - Human Shaman",,"avr","200",rare,g,Not Owned,,false,,,"","",44071
"Cankerbloom",,"Creature - Phyrexian Fungus",,"one","161",uncommon,g,Not Owned,,false,,,"","",106537
"Destiny Spinner",,"Enchantment Creature - Human",,"thb","168",uncommon,g,Not Owned,,false,,,"","",79460
"Devoted Druid",,"Creature - Elf Druid",,"shm","110",common,g,Not Owned,,false,,,"","",29305
"Fauna Shaman",,"Creature - Elf Shaman",,"m11","172",rare,g,Not Owned,,false,,,"","",37456
"Lotus Cobra",,"Creature - Snake",,"zen","168",mythic,g,Not Owned,,false,,,"","",34546
"Rofellos, Llanowar Emissary",,"Legendary Creature - Elf Druid",,"uds","118",rare,g,Not Owned,,false,,,"","",12913
"Sakura-Tribe Elder",,"Creature - Snake Shaman",,"chk","239",common,g,Not Owned,,false,,,"","",21097
"Scavenging Ooze",,"Creature - Ooze",,"cmd","170",rare,g,Not Owned,,false,,,"","",40630
"Sylvan Caryatid",,"Creature - Plant",,"ths","180",rare,g,Not Owned,,false,,,"","",50260
"Tarmogoyf",,"Creature - Lhurgoyf",,"fut","153",rare,g,Not Owned,,false,,,"","",26844
"Wall of Blossoms",,"Creature - Plant Wall",,"sth","125",uncommon,g,Not Owned,,false,,,"","",10433
"Wall of Roots",,"Creature - Plant Wall",,"mir","253",common,g,Not Owned,,false,,,"","",7427
"Werewolf Pack Leader",,"Creature - Human Werewolf",,"afr","211",rare,g,Not Owned,,false,,,"","",91924
"Azusa, Lost but Seeking",,"Legendary Creature - Human Monk",,"chk","201",rare,g,Not Owned,,false,,,"","",21535
"Courser of Kruphix",,"Enchantment Creature - Centaur",,"bng","119",rare,g,Not Owned,,false,,,"","",51851
"Endurance",,"Creature - Elemental Incarnation",,"mh2","157",mythic,g,Not Owned,,false,,,"","",90691
"Eternal Witness",,"Creature - Human Shaman",,"5dn","86",uncommon,g,Not Owned,,false,,,"","",20856
"Ramunap Excavator",,"Creature - Naga Cleric",,"hou","129",rare,g,Not Owned,,false,,,"","",64742
"Reclamation Sage",,"Creature - Elf Shaman",,"m15","194",uncommon,g,Not Owned,,false,,,"","",53606
"Selvala, Heart of the Wilds",,"Legendary Creature - Elf Scout",,"cn2","70",mythic,g,Not Owned,,false,,,"","",
"Tireless Provisioner",,"Creature - Elf Scout",,"mh2","180",uncommon,g,Not Owned,,false,,,"","",90737
"Tireless Tracker",,"Creature - Human Scout",,"soi","233",rare,g,Not Owned,,false,,,"","",60320
"Yavimaya Elder",,"Creature - Human Druid",,"uds","124",common,g,Not Owned,,false,,,"","",12901
"Master of the Wild Hunt",,"Creature - Human Shaman",,"m10","191",mythic,g,Not Owned,,false,,,"","",32833
"Nightpack Ambusher",,"Creature - Wolf",,"m20","185",rare,g,Not Owned,,false,,,"","",73269
"Oracle of Mul Daya",,"Creature - Elf Shaman",,"zen","172",rare,g,Not Owned,,false,,,"","",34542
"Polukranos, World Eater",,"Legendary Creature - Hydra",,"ddl","43",mythic,g,Not Owned,,false,,,"","",49991
"Questing Beast",,"Legendary Creature - Beast",,"eld","171",mythic,g,Not Owned,,false,,,"","",78482
"Toski, Bearer of Secrets",,"Legendary Creature - Squirrel",,"khm","197",rare,g,Not Owned,,false,,,"","",87737
"Acidic Slime",,"Creature - Ooze",,"m10","165",uncommon,g,Not Owned,,false,,,"","",32723
"Biogenic Ooze",,"Creature - Ooze",,"rna","122",mythic,g,Not Owned,,false,,,"","",71244
"Deranged Hermit",,"Creature - Elf",,"ulg","101",rare,g,Not Owned,,false,,,"","",12473
"Elder Gargaroth",,"Creature - Beast",,"m21","179",mythic,g,Not Owned,,false,,,"","",81585
"Thragtusk",,"Creature - Beast",,"m13","193",rare,g,Not Owned,,false,,,"","",45582
"Whisperwood Elemental",,"Creature - Elemental",,"frf","145",mythic,g,Not Owned,,false,,,"","",55586
"Carnage Tyrant",,"Creature - Dinosaur",,"xln","179",mythic,g,Not Owned,,false,,,"","",65376
"Primeval Titan",,"Creature - Giant",,"m11","192",mythic,g,Not Owned,,false,,,"","",37400
"Avenger of Zendikar",,"Creature - Elemental",,"wwk","96",mythic,g,Not Owned,,false,,,"","",35715
"Titan of Industry",,"Creature - Elemental",,"snc","159",mythic,g,Not Owned,,false,,,"","",98537
"Craterhoof Behemoth",,"Creature - Beast",,"avr","172",mythic,g,Not Owned,,false,,,"","",43921
"Terastodon",,"Creature - Elephant",,"wwk","115",rare,g,Not Owned,,false,,,"","",35629
"Woodfall Primus",,"Creature - Treefolk Shaman",,"shm","135",rare,g,Not Owned,,false,,,"","",29589
"Garruk Wildspeaker",,"Legendary Planeswalker - Garruk",,"lrw","213",rare,g,Not Owned,,false,,,"","",28453
"Nissa, Who Shakes the World",,"Legendary Planeswalker - Nissa",,"war","169",rare,g,Not Owned,,false,,,"","",71944
"Vivien Reid",,"Legendary Planeswalker - Vivien",,"m19","208",mythic,g,Not Owned,,false,,,"","",68577
"Vivien, Monsters' Advocate",,"Legendary Planeswalker - Vivien",,"iko","175",mythic,g,Not Owned,,false,,,"","",80359
"Nature's Claim",,"Instant",,"wwk","108",common,g,Not Owned,,false,,,"","",35699
"Verdant Command",,"Instant",,"mh2","182",rare,g,Not Owned,,false,,,"","",90741
"Beast Within",,"Instant",,"nph","103",uncommon,g,Not Owned,,false,,,"","",39884
"Force of Vigor",,"Instant",,"mh1","164",rare,g,Not Owned,,false,,,"","",72700
"Green Sun's Zenith",,"Sorcery",,"mbs","81",rare,g,Not Owned,,false,,,"","",39581
"Finale of Devastation",,"Sorcery",,"war","160",mythic,g,Not Owned,,false,,,"","",71926
"Life from the Loam",,"Sorcery",,"rav","172",rare,g,Not Owned,,false,,,"","",23376
"Regrowth",,"Sorcery",,"lea","214",uncommon,g,Not Owned,,false,,,"","",
"Bala Ged Recovery",,"Sorcery",,"znr","180",uncommon,g,Not Owned,,false,,,"","",83343
"Cultivate",,"Sorcery",,"m11","168",common,g,Not Owned,,false,,,"","",37350
"Search for Tomorrow",,"Sorcery",,"tsp","216",common,g,Not Owned,,false,,,"","",25405
"Harmonize",,"Sorcery",,"plc","149",uncommon,g,Not Owned,,false,,,"","",26249
"Natural Order",,"Sorcery",,"vis","114",rare,g,Not Owned,,false,,,"","",7647
"Plow Under",,"Sorcery",,"uds","117",rare,g,Not Owned,,false,,,"","",12761
"Primal Command",,"Sorcery",,"lrw","233",rare,g,Not Owned,,false,,,"","",28501
"Tooth and Nail",,"Sorcery",,"mrd","134",rare,g,Not Owned,,false,,,"","",19969
"Mox Emerald",,"Artifact",,"lea","261",rare,g,Not Owned,,false,,,"","",647
"Bow of Nylea",,"Legendary Enchantment Artifact",,"ths","153",rare,g,Not Owned,,false,,,"","",50412
"Birthing Pod",,"Artifact",,"nph","104",rare,g,Not Owned,,false,,,"","",39796
"Fastbond",,"Enchantment",,"lea","192",rare,g,Not Owned,,false,,,"","",
"Oath of Druids",,"Enchantment",,"exo","115",rare,g,Not Owned,,false,,,"","",10519
"Survival of the Fittest",,"Enchantment",,"exo","129",rare,g,Not Owned,,false,,,"","",10709
"Sylvan Library",,"Enchantment",,"leg","207",uncommon,g,Not Owned,,false,,,"","",
"Growing Rites of Itlimoc",,"Legendary Enchantment",,"xln","191",rare,g,Not Owned,,false,,,"","",65400
"Azorius Signet",,"Artifact",,"dis","159",common,m,Not Owned,,false,,,"","",24023
"Geist of Saint Traft",,"Legendary Creature - Spirit Cleric",,"isd","213",mythic,m,Not Owned,,false,,,"","",42824
"Reflector Mage",,"Creature - Human Wizard",,"ogw","157",uncommon,m,Not Owned,,false,,,"","",59587
"Soulherder",,"Creature - Spirit",,"mh1","214",uncommon,m,Not Owned,,false,,,"","",72800
"Sphinx's Revelation",,"Instant",,"rtr","200",mythic,m,Not Owned,,false,,,"","",46559
"Ojutai's Command",,"Instant",,"dtk","227",rare,m,Not Owned,,false,,,"","",56328
"Dragonlord Ojutai",,"Legendary Creature - Elder Dragon",,"dtk","219",mythic,m,Not Owned,,false,,,"","",56048
"Fractured Identity",,"Sorcery",,"c17","37",rare,m,Not Owned,,false,,,"","",
"Teferi, Hero of Dominaria",,"Legendary Planeswalker - Teferi",,"dom","207",mythic,m,Not Owned,,false,,,"","",67879
"Yorion, Sky Nomad",,"Legendary Creature - Bird Serpent",,"iko","232",rare,m,Not Owned,,false,,,"","",80473
"Baleful Strix",,"Artifact Creature - Bird",,"pc2","82",uncommon,m,Not Owned,,false,,,"","",45066
"Dimir Signet",,"Artifact",,"rav","260",common,m,Not Owned,,false,,,"","",23562
"Ashiok, Nightmare Weaver",,"Legendary Planeswalker - Ashiok",,"ths","188",mythic,m,Not Owned,,false,,,"","",50310
"Kaito Shizuki",,"Legendary Planeswalker - Kaito",,"neo","226",mythic,m,Not Owned,,false,,,"","",97400
"Satoru Umezawa",,"Legendary Creature - Human Ninja",,"neo","234",rare,m,Not Owned,,false,,,"","",97418
"Thief of Sanity",,"Creature - Specter",,"grn","205",rare,m,Not Owned,,false,,,"","",69783
"Hostage Taker",,"Creature - Human Pirate",,"xln","223",rare,m,Not Owned,,false,,,"","",65466
"Tezzeret, Agent of Bolas",,"Legendary Planeswalker - Tezzeret",,"mbs","97",mythic,m,Not Owned,,false,,,"","",39301
"Fallen Shinobi",,"Creature - Zombie Ninja",,"mh1","199",rare,m,Not Owned,,false,,,"","",72770
"The Scarab God",,"Legendary Creature - God",,"hou","145",mythic,m,Not Owned,,false,,,"","",64774
"Dragonlord Silumgar",,"Legendary Creature - Elder Dragon",,"dtk","220",mythic,m,Not Owned,,false,,,"","",55934
"Angrath's Rampage",,"Sorcery",,"war","185",uncommon,m,Not Owned,,false,,,"","",71976
"Kroxa, Titan of Death's Hunger",,"Legendary Creature - Elder Giant",,"thb","221",mythic,m,Not Owned,,false,,,"","",79566
"Rakdos Signet",,"Artifact",,"dis","165",common,m,Not Owned,,false,,,"","",24045
"Rakdos's Return",,"Sorcery",,"rtr","188",mythic,m,Not Owned,,false,,,"","",46565
"Valki, God of Lies",,"Legendary Creature - God",,"khm","114",mythic,m,Not Owned,,false,,,"","",87559
"Judith, the Scourge Diva",,"Legendary Creature - Human Shaman",,"rna","185",rare,m,Not Owned,,false,,,"","",71370
"Kolaghan's Command",,"Instant",,"dtk","224",rare,m,Not Owned,,false,,,"","",56082
"Cut // Ribbons",,"Sorcery",,"akh","223",rare,m,Not Owned,,false,,,"","",64104
"Murderous Redcap",,"Creature - Goblin Assassin",,"shm","192",uncommon,m,Not Owned,,false,,,"","",29623
"Olivia Voldaren",,"Legendary Creature - Vampire",,"isd","215",mythic,m,Not Owned,,false,,,"","",42764
"Angrath, the Flame-Chained",,"Legendary Planeswalker - Angrath",,"rix","152",mythic,m,Not Owned,,false,,,"","",66757
"Sire of Insanity",,"Creature - Demon",,"dgm","104",rare,m,Not Owned,,false,,,"","",48344
"Ancient Grudge",,"Instant",,"tsp","143",common,m,Not Owned,,false,,,"","",25539
"Burning-Tree Emissary",,"Creature - Human Shaman",,"gtc","216",uncommon,m,Not Owned,,false,,,"","",47527
"Gruul Signet",,"Artifact",,"gpt","150",common,m,Not Owned,,false,,,"","",23669
"Wrenn and Six",,"Legendary Planeswalker - Wrenn",,"mh1","217",mythic,m,Not Owned,,false,,,"","",72806
"Klothys, God of Destiny",,"Legendary Enchantment Creature - God",,"thb","220",mythic,m,Not Owned,,false,,,"","",79564
"Bloodbraid Elf",,"Creature - Elf Berserker",,"arb","50",uncommon,m,Not Owned,,false,,,"","",32430
"Huntmaster of the Fells",,"Creature - Human Werewolf",,"dka","140",mythic,m,Not Owned,,false,,,"","",43463
"Minsc & Boo, Timeless Heroes",,"Legendary Planeswalker - Minsc",,"clb","285",mythic,m,Not Owned,,false,,,"","",100608
"Escape to the Wilds",,"Sorcery",,"eld","189",rare,m,Not Owned,,false,,,"","",78522
"Thrash // Threat",,"Instant",,"rna","229",rare,m,Not Owned,,false,,,"","",71494
"Dragonlord Atarka",,"Legendary Creature - Elder Dragon",,"dtk","216",mythic,m,Not Owned,,false,,,"","",55976
"Avacyn's Pilgrim",,"Creature - Human Monk",,"isd","170",common,m,Not Owned,,false,,,"","",42678
"Qasali Pridemage",,"Creature - Cat Wizard",,"arb","75",common,m,Not Owned,,false,,,"","",32284
"Selesnya Signet",,"Artifact",,"rav","270",common,m,Not Owned,,false,,,"","",23568
"Voice of Resurgence",,"Creature - Elemental",,"dgm","114",mythic,m,Not Owned,,false,,,"","",48302
"Kitchen Finks",,"Creature - Ouphe",,"shm","229",uncommon,m,Not Owned,,false,,,"","",29329
"Knight of Autumn",,"Creature - Dryad Knight",,"grn","183",rare,m,Not Owned,,false,,,"","",69739
"Knight of the Reliquary",,"Creature - Human Knight",,"con","113",rare,m,Not Owned,,false,,,"","",31925
"Renegade Rallier",,"Creature - Human Warrior",,"aer","133",uncommon,m,Not Owned,,false,,,"","",62817
"Shalai, Voice of Plenty",,"Legendary Creature - Angel",,"dom","35",rare,m,Not Owned,,false,,,"","",67535
"Mirari's Wake",,"Enchantment",,"jud","139",rare,m,Not Owned,,false,,,"","",17618
"Trostani Discordant",,"Legendary Creature - Dryad",,"grn","208",mythic,m,Not Owned,,false,,,"","",69789
"Prepare // Fight",,"Instant",,"akh","220",rare,m,Not Owned,,false,,,"","",64086
"Orzhov Signet",,"Artifact",,"gpt","155",common,m,Not Owned,,false,,,"","",23681
"Tidehollow Sculler",,"Artifact Creature - Zombie",,"ala","202",uncommon,m,Not Owned,,false,,,"","",31125
"Anguished Unmaking",,"Instant",,"soi","242",rare,m,Not Owned,,false,,,"","",60088
"Kaya, Orzhov Usurper",,"Legendary Planeswalker - Kaya",,"rna","186",mythic,m,Not Owned,,false,,,"","",71372
"Kaya's Guile",,"Instant",,"mh1","205",rare,m,Not Owned,,false,,,"","",72782
"Kunoros, Hound of Athreos",,"Legendary Creature - Dog",,"thb","222",rare,m,Not Owned,,false,,,"","",79568
"Lingering Souls",,"Sorcery",,"dka","12",uncommon,m,Not Owned,,false,,,"","",43359
"Lurrus of the Dream-Den",,"Legendary Creature - Cat Nightmare",,"iko","226",rare,m,Not Owned,,false,,,"","",80461
"Vindicate",,"Sorcery",,"apc","126",rare,m,Not Owned,,false,,,"","",16154
"Kaya, Ghost Assassin",,"Legendary Planeswalker - Kaya",,"cn2","222",mythic,m,Not Owned,,false,,,"","",
"Unburial Rites",,"Sorcery",,"isd","122",uncommon,m,Not Owned,,false,,,"","",42482
"Ashen Rider",,"Creature - Archon",,"ths","187",mythic,m,Not Owned,,false,,,"","",50570
"Expressive Iteration",,"Sorcery",,"stx","186",uncommon,m,Not Owned,,false,,,"","",88879
"Izzet Signet",,"Artifact",,"gpt","152",common,m,Not Owned,,false,,,"","",23679
"Dack Fayden",,"Legendary Planeswalker - Dack",,"cns","42",mythic,m,Not Owned,,false,,,"","",
"Electrolyze",,"Instant",,"gpt","111",uncommon,m,Not Owned,,false,,,"","",23629
"Lutri, the Spellchaser",,"Legendary Creature - Elemental Otter",,"iko","227",rare,m,Not Owned,,false,,,"","",80463
"The Royal Scions",,"Legendary Planeswalker - Will Rowan",,"eld","199",mythic,m,Not Owned,,false,,,"","",78542
"Fire // Ice",,"Instant",,"apc","128",uncommon,m,Not Owned,,false,,,"","",16338
"Ral's Outburst",,"Instant",,"war","212",uncommon,m,Not Owned,,false,,,"","",72030
"Keranos, God of Storms",,"Legendary Enchantment Creature - God",,"jou","151",mythic,m,Not Owned,,false,,,"","",52102
"Etherium-Horn Sorcerer",,"Artifact Creature - Minotaur Wizard",,"pc2","91",rare,m,Not Owned,,false,,,"","",45054
"Deathrite Shaman",,"Creature - Elf Shaman",,"rtr","213",rare,m,Not Owned,,false,,,"","",46777
"Elves of Deep Shadow",,"Creature - Elf Druid",,"drk","76",uncommon,m,Not Owned,,false,,,"","",
"Ravenous Squirrel",,"Creature - Squirrel",,"mh2","211",uncommon,m,Not Owned,,false,,,"","",90799
"Assassin's Trophy",,"Instant",,"grn","152",rare,m,Not Owned,,false,,,"","",69677
"Fiend Artisan",,"Creature - Nightmare",,"iko","220",mythic,m,Not Owned,,false,,,"","",80449
"Golgari Signet",,"Artifact",,"rav","262",common,m,Not Owned,,false,,,"","",23564
"Glissa Sunslayer",,"Legendary Creature - Phyrexian Zombie Elf",,"one","202",rare,m,Not Owned,,false,,,"","",106619
"Grist, the Hunger Tide",,"Legendary Planeswalker - Grist",,"mh2","202",mythic,m,Not Owned,,false,,,"","",90781
"Maelstrom Pulse",,"Sorcery",,"arb","92",rare,m,Not Owned,,false,,,"","",32388
"Pernicious Deed",,"Enchantment",,"apc","114",rare,m,Not Owned,,false,,,"","",16230
"Garruk Relentless",,"Legendary Planeswalker - Garruk",,"isd","181",mythic,m,Not Owned,,false,,,"","",42744
"Vraska, Golgari Queen",,"Legendary Planeswalker - Vraska",,"grn","213",mythic,m,Not Owned,,false,,,"","",69799
"Find // Finality",,"Sorcery",,"grn","225",rare,m,Not Owned,,false,,,"","",69843
"Figure of Destiny",,"Creature - Kithkin",,"eve","139",rare,m,Not Owned,,false,,,"","",30238
"Boros Signet",,"Artifact",,"rav","255",common,m,Not Owned,,false,,,"","",23566
"Lightning Helix",,"Instant",,"rav","213",uncommon,m,Not Owned,,false,,,"","",23154
"Lorehold Excavation",,"Enchantment",,"stx","200",uncommon,m,Not Owned,,false,,,"","",88907
"Tajic, Legion's Edge",,"Legendary Creature - Human Soldier",,"grn","204",rare,m,Not Owned,,false,,,"","",69781
"Wear // Tear",,"Instant",,"dgm","135",uncommon,m,Not Owned,,false,,,"","",48524
"Zirda, the Dawnwaker",,"Legendary Creature - Elemental Fox",,"iko","233",rare,m,Not Owned,,false,,,"","",80475
"Ajani Vengeant",,"Legendary Planeswalker - Ajani",,"ala","154",mythic,m,Not Owned,,false,,,"","",30923
"Nahiri, the Harbinger",,"Legendary Planeswalker - Nahiri",,"soi","247",mythic,m,Not Owned,,false,,,"","",59924
"Showdown of the Skalds",,"Enchantment - Saga",,"khm","229",rare,m,Not Owned,,false,,,"","",87801
"Archangel Avacyn",,"Legendary Creature - Angel",,"soi","5",mythic,m,Not Owned,,false,,,"","",59766
"Coiling Oracle",,"Creature - Snake Elf Druid",,"dis","107",common,m,Not Owned,,false,,,"","",24059
"Hydroid Krasis",,"Creature - Jellyfish Hydra Beast",,"rna","183",mythic,m,Not Owned,,false,,,"","",71366
"Simic Signet",,"Artifact",,"dis","166",common,m,Not Owned,,false,,,"","",24015
"Agent's Toolkit",,"Artifact - Clue",,"ncc","66",rare,m,Not Owned,,false,,,"","",
"Edric, Spymaster of Trest",,"Legendary Creature - Elf Rogue",,"cmd","196",rare,m,Not Owned,,false,,,"","",40629
"Oko, Thief of Crowns",,"Legendary Planeswalker - Oko",,"eld","197",mythic,m,Not Owned,,false,,,"","",78538
"Shardless Agent",,"Artifact Creature - Human Rogue",,"pc2","104",uncommon,m,Not Owned,,false,,,"","",44832
"Trygon Predator",,"Creature - Beast",,"dis","133",uncommon,m,Not Owned,,false,,,"","",24071
"Uro, Titan of Nature's Wrath",,"Legendary Creature - Elder Giant",,"thb","229",mythic,m,Not Owned,,false,,,"","",79582
"Bring to Light",,"Sorcery",,"bfz","209",rare,m,Not Owned,,false,,,"","",58573
"Koma, Cosmos Serpent",,"Legendary Creature - Serpent",,"khm","221",mythic,m,Not Owned,,false,,,"","",87785
"Noble Hierarch",,"Creature - Human Druid",,"con","87",rare,m,Not Owned,,false,,,"","",31745
"Chulane, Teller of Tales",,"Legendary Creature - Human Druid",,"eld","326",mythic,m,Not Owned,,false,,,"","",78712
"Thopter Foundry",,"Artifact",,"arb","133",uncommon,m,Not Owned,,false,,,"","",32420
"Dakkon, Shadow Slayer",,"Legendary Planeswalker - Dakkon",,"mh2","192",mythic,m,Not Owned,,false,,,"","",90761
"Nicol Bolas, the Ravager",,"Legendary Creature - Elder Dragon",,"m19","218",mythic,m,Not Owned,,false,,,"","",68597
"Ignoble Hierarch",,"Creature - Goblin Shaman",,"mh2","166",rare,m,Not Owned,,false,,,"","",90709
"Korvold, Fae-Cursed King",,"Legendary Creature - Dragon Noble",,"eld","329",mythic,m,Not Owned,,false,,,"","",78718
"Rocco, Cabaretti Caterer",,"Legendary Creature - Elf Druid",,"snc","218",uncommon,m,Not Owned,,false,,,"","",98655
"Alesha, Who Smiles at Death",,"Legendary Creature - Human Warrior",,"frf","90",rare,m,Not Owned,,false,,,"","",55456
"Maelstrom Wanderer",,"Legendary Creature - Elemental",,"pc2","101",mythic,m,Not Owned,,false,,,"","",45062
